Rank,Player,2022/23,2022/23(*)
280.,Isaiah Stewart,"$3,433,320","$3,640,308"
280.,Chuma Okeke,"$3,433,320","$3,640,308"
282.,Trey Burke,"$3,423,750","$3,630,161"
283.,Amir Coffey,"$3,395,062","$3,599,743"
284.,Alperen Sengun,"$3,375,360","$3,578,853"
285.,Tari Eason,"$3,359,160","$3,561,677"
286.,Aleksej Pokusevski,"$3,261,480","$3,458,108"
287.,Kevin Porter,"$3,217,631","$3,411,615"
288.,Trey Murphy,"$3,206,520","$3,399,834"
289.,Simone Fontecchio,"$3,205,128","$3,398,358"
290.,Derrick Jones,"$3,200,000","$3,392,921"
290.,Andre Drummond,"$3,200,000","$3,392,921"
292.,Dalen Terry,"$3,191,400","$3,383,803"
293.,Sterling Brown,"$3,122,602","$3,310,857"
294.,Josh Green,"$3,098,400","$3,285,196"
295.,Jake LaRavia,"$3,047,640","$3,231,376"
296.,Tre Mann,"$3,046,200","$3,229,849"
297.,Kevin Knox,"$3,000,000","$3,180,864"
298.,Saddiq Bey,"$2,959,080","$3,137,477"
299.,Malaki Branham,"$2,925,600","$3,101,978"
300.,Joe Wieskamp,"$2,909,261","$3,084,654"
301.,Kai Jones,"$2,909,040","$3,084,420"
302.,Blake Griffin,"$2,905,851","$3,081,038"
302.,Robin Lopez,"$2,905,851","$3,081,038"
302.,Markieff Morris,"$2,905,851","$3,081,038"
302.,Andre Iguodala,"$2,905,851","$3,081,038"
302.,Serge Ibaka,"$2,905,851","$3,081,038"
302.,Udonis Haslem,"$2,905,851","$3,081,038"
302.,Wesley Matthews,"$2,905,851","$3,081,038"
302.,Austin Rivers,"$2,905,851","$3,081,038"
302.,Bismack Biyombo,"$2,905,851","$3,081,038"
302.,Taj Gibson,"$2,905,851","$3,081,038"
312.,RJ Hampton,"$2,898,243","$3,072,971"
313.,Andrew Nicholson,"$2,844,429","$3,015,913"
314.,Precious Achiuwa,"$2,840,160","$3,011,387"
315.,Christian Braun,"$2,808,600","$2,977,924"
316.,Jordan Nwora,"$2,800,000","$2,968,806"
317.,Jalen Johnson,"$2,792,640","$2,961,002"
318.,Tyrese Maxey,"$2,726,880","$2,891,278"
319.,Bruno Fernando,"$2,717,391","$2,881,217"
320.,Walker Kessler,"$2,696,400","$2,858,960"
321.,Keon Johnson,"$2,681,040","$2,842,674"
322.,Charles Bassey,"$2,674,742","$2,835,996"
323.,Dennis Schroeder,"$2,641,682","$2,800,943"
324.,TJ Warren,"$2,628,597","$2,787,069"
324.,Matthew Dellavedova,"$2,628,597","$2,787,069"
326.,Trey Lyles,"$2,625,000","$2,783,256"
327.,Zeke Nnaji,"$2,617,800","$2,775,621"
328.,David Roddy,"$2,588,640","$2,744,703"
329.,Isaiah Jackson,"$2,573,760","$2,728,926"
330.,MarJon Beauchamp,"$2,485,200","$2,635,027"
331.,Usman Garuba,"$2,471,160","$2,620,141"
332.,Raul Neto,"$2,463,490","$2,612,008"
332.,Frank Kaminsky,"$2,463,490","$2,612,008"
332.,Montrezl Harrell,"$2,463,490","$2,612,008"
335.,Willy Hernangomez,"$2,443,581","$2,590,899"
336.,Theo Maledon,"$2,408,891","$2,554,118"
337.,Blake Wesley,"$2,385,480","$2,529,295"
338.,Josh Christopher,"$2,372,160","$2,515,172"
339.,Isaiah Roby,"$2,330,681","$2,471,192"
340.,Lindy Waters III,"$2,316,876","$2,456,555"
341.,Immanuel Quickley,"$2,316,240","$2,455,881"
342.,Wendell Moore,"$2,306,520","$2,445,575"
343.,John Konchar,"$2,300,000","$2,438,662"
344.,Rodney McGruder,"$2,298,385","$2,436,950"
344.,Bryn Forbes,"$2,298,385","$2,436,950"
344.,Juan Hernangomez,"$2,298,385","$2,436,950"
344.,Damian Jones,"$2,298,385","$2,436,950"
348.,Quentin Grimes,"$2,277,000","$2,414,275"
349.,Saben Lee,"$2,266,640","$2,403,289"
350.,Andrew Nembhard,"$2,244,111","$2,379,403"
351.,Nikola Jovic,"$2,239,920","$2,374,960"
352.,Payton Pritchard,"$2,239,200","$2,374,196"
353.,Vlatko Cancar,"$2,234,359","$2,369,064"
354.,Patrick Baldwin,"$2,226,000","$2,360,201"
355.,TyTy Washington,"$2,210,040","$2,343,278"
356.,Bones Hyland,"$2,201,520","$2,334,245"
357.,Bol Bol,"$2,200,000","$2,332,633"
358.,Peyton Watson,"$2,193,960","$2,326,229"
359.,Marquese Chriss,"$2,193,920","$2,326,187"
360.,Udoka Azubuike,"$2,174,880","$2,305,999"
361.,Jaden McDaniels,"$2,161,440","$2,291,748"
362.,Jordan McLaughlin,"$2,160,000","$2,290,222"
363.,Malachi Flynn,"$2,145,720","$2,275,081"
364.,Cam Thomas,"$2,138,160","$2,267,065"
365.,Luke Kornet,"$2,133,278","$2,261,889"
365.,Dennis Smith,"$2,133,278","$2,261,889"
365.,Damion Lee,"$2,133,278","$2,261,889"
365.,Juan Toscano-Anderson,"$2,133,278","$2,261,889"
369.,Desmond Bane,"$2,130,240","$2,258,667"
370.,Jaden Springer,"$2,125,200","$2,253,324"
371.,Day'Ron Sharpe,"$2,109,480","$2,236,656"
372.,Santiago Aldama,"$2,094,120","$2,220,370"
373.,Tony Bradley,"$2,036,318","$2,159,083"
373.,Frank Ntilikina,"$2,036,318","$2,159,083"
375.,Garrison Mathews,"$2,000,000","$2,120,576"
375.,Kenrich Williams,"$2,000,000","$2,120,576"
375.,Jaylin Williams,"$2,000,000","$2,120,576"
375.,Jeremiah Robinson-Earl,"$2,000,000","$2,120,576"
375.,Caleb Houstan,"$2,000,000","$2,120,576"
380.,Shake Milton,"$1,997,718","$2,118,156"
381.,Aaron Holiday,"$1,968,175","$2,086,832"
381.,Yuta Watanabe,"$1,968,175","$2,086,832"
381.,Edmond Sumner,"$1,968,175","$2,086,832"
381.,Theo Pinson,"$1,968,175","$2,086,832"
381.,Thomas Bryant,"$1,968,175","$2,086,832"
381.,Troy Brown,"$1,968,175","$2,086,832"
381.,Josh Okogie,"$1,968,175","$2,086,832"
381.,Drew Eubanks,"$1,968,175","$2,086,832"
389.,Dean Wade,"$1,930,681","$2,047,077"
389.,Terance Mann,"$1,930,681","$2,047,077"
389.,Jaylen Nowell,"$1,930,681","$2,047,077"
389.,Naz Reid,"$1,930,681","$2,047,077"
389.,Jalen McDaniels,"$1,930,681","$2,047,077"
389.,Daniel Gafford,"$1,930,681","$2,047,077"
395.,Chimezie Metu,"$1,910,860","$2,026,061"
396.,Davon Reed,"$1,902,133","$2,016,808"
396.,KZ Okpala,"$1,902,133","$2,016,808"
398.,Killian Tillie,"$1,901,625","$2,016,270"
399.,Vernon Carey,"$1,882,621","$1,996,119"
400.,Wenyen Gabriel,"$1,878,720","$1,991,984"
400.,Thanasis Antetokounmpo,"$1,878,720","$1,991,984"
400.,Moritz Wagner,"$1,878,720","$1,991,984"
400.,Keita Bates-Diop,"$1,878,720","$1,991,984"
404.,Oshae Brissett,"$1,846,738","$1,958,074"
405.,Nathan Knight,"$1,836,090","$1,946,784"
405.,Justin Jackson,"$1,836,090","$1,946,784"
405.,Isaiah Joe,"$1,836,090","$1,946,784"
405.,Ryan Arcidiacono,"$1,836,090","$1,946,784"
405.,Anthony Gill,"$1,836,090","$1,946,784"
410.,Javonte Green,"$1,815,677","$1,925,140"
410.,Gabe Vincent,"$1,815,677","$1,925,140"
410.,Max Strus,"$1,815,677","$1,925,140"
413.,Herb Jones,"$1,785,000","$1,892,614"
414.,Nick Richards,"$1,782,621","$1,890,091"
414.,Lamar Stevens,"$1,782,621","$1,890,091"
414.,Tyrell Terry,"$1,782,621","$1,890,091"
414.,KJ Martin,"$1,782,621","$1,890,091"
414.,Xavier Tillman,"$1,782,621","$1,890,091"
414.,Naji Marshall,"$1,782,621","$1,890,091"
414.,Paul Reed,"$1,782,621","$1,890,091"
414.,Tre Jones,"$1,782,621","$1,890,091"
422.,Haywood Highsmith,"$1,752,638","$1,858,301"
422.,Omer Yurtseven,"$1,752,638","$1,858,301"
424.,Leandro Bolmaro,"$1,709,300","$1,812,350"
425.,Terry Taylor,"$1,703,902","$1,806,626"
426.,Jared Butler,"$1,674,655","$1,775,616"
427.,Jericho Sims,"$1,639,842","$1,738,704"
428.,Sam Hauser,"$1,637,966","$1,736,715"
428.,Kessler Edwards,"$1,637,966","$1,736,715"
430.,Isaiah Todd,"$1,575,000","$1,669,953"
431.,Vit Krejci,"$1,563,518","$1,657,779"
431.,JT Thor,"$1,563,518","$1,657,779"
431.,Marko Simonovic,"$1,563,518","$1,657,779"
431.,Ayo Dosunmu,"$1,563,518","$1,657,779"
431.,Isaiah Livers,"$1,563,518","$1,657,779"
431.,Daishen Nix,"$1,563,518","$1,657,779"
431.,Jason Preston,"$1,563,518","$1,657,779"
431.,BJ Boston,"$1,563,518","$1,657,779"
431.,Austin Reaves,"$1,563,518","$1,657,779"
431.,Jose Alvarado,"$1,563,518","$1,657,779"
431.,Miles McBride,"$1,563,518","$1,657,779"
431.,Aaron Wiggins,"$1,563,518","$1,657,779"
431.,Jock Landale,"$1,563,518","$1,657,779"
431.,Greg Brown,"$1,563,518","$1,657,779"
431.,Trendon Watford,"$1,563,518","$1,657,779"
431.,Dalano Banton,"$1,563,518","$1,657,779"
447.,Kenneth Lofton,"$1,505,966","$1,596,757"
448.,Christian Koloko,"$1,500,000","$1,590,432"
449.,Bryce McGowens,"$1,461,055","$1,549,139"
450.,Eric Bledsoe,"$1,300,000","$1,378,374"
451.,Jordan Goodwin,"$1,280,206","$1,357,387"
452.,Kennedy Chandler,"$1,200,000","$1,272,345"
453.,Noah Vonleh,"$1,160,955","$1,230,946"
454.,Sandro Mamukelashvili,"$1,116,112","$1,183,400"
455.,Sam Merrill,"$1,105,522","$1,172,171"
456.,Zhaire Smith,"$1,068,200","$1,132,599"
457.,Tyrese Martin,"$1,017,781","$1,079,140"
457.,Jaden Hardy,"$1,017,781","$1,079,140"
457.,Ryan Rollins,"$1,017,781","$1,079,140"
457.,Max Christie,"$1,017,781","$1,079,140"
457.,Josh Minott,"$1,017,781","$1,079,140"
457.,Jabari Walker,"$1,017,781","$1,079,140"
463.,Eugene Omoruyi,"$1,013,119","$1,074,197"
464.,Kris Dunn,"$1,000,001","$1,060,289"
465.,Kyle Singler,"$999,200","$1,059,439"
466.,Ishmail Wainright,"$980,057","$1,039,142"
467.,Admiral Schofield,"$877,940","$930,869"
468.,Justin Champagnie,"$853,241","$904,680"
469.,Trevelin Queen,"$838,891","$889,466"
470.,Moses Brown,"$824,041","$873,720"
471.,Matt Ryan,"$806,097","$854,694"
472.,DaQuan Jeffries,"$799,403","$847,597"
473.,PJ Dozier,"$784,654","$831,959"
474.,Cody Zeller,"$743,922","$788,771"
475.,Meyers Leonard,"$713,558","$756,576"
476.,Nik Stauskas,"$702,311","$744,651"
477.,Anthony Lamb,"$694,878","$736,770"
478.,Michael Carter-Williams,"$652,829","$692,186"
479.,DJ Augustin,"$633,938","$672,156"
480.,Duane Washington Jr,"$628,802","$666,711"
481.,Carlik Jones,"$612,162","$649,068"
482.,Juwan Morgan,"$576,230","$610,969"
483.,Malik Fitts,"$555,217","$588,689"
484.,Luka Samanic,"$538,317","$570,771"
485.,David Duke,"$531,283","$563,312"
486.,Trevor Keels,"$520,589","$551,974"
487.,Dereon Seabron,"$511,816","$542,672"
488.,Trent Forrest,"$508,891","$539,571"
488.,Mfiondu Kabengele,"$508,891","$539,571"
488.,JD Davison,"$508,891","$539,571"
488.,Malcolm Hill,"$508,891","$539,571"
488.,Mamadi Diakite,"$508,891","$539,571"
488.,Isaiah Mobley,"$508,891","$539,571"
488.,McKinley Wright,"$508,891","$539,571"
488.,Jack White,"$508,891","$539,571"
488.,Collin Gillespie,"$508,891","$539,571"
488.,Buddy Boeheim,"$508,891","$539,571"
488.,Darius Days,"$508,891","$539,571"
488.,Trevor Hudgins,"$508,891","$539,571"
488.,Kendall Brown,"$508,891","$539,571"
488.,Moussa Diabate,"$508,891","$539,571"
488.,Scottie Pippen Jr,"$508,891","$539,571"
488.,Cole Swider,"$508,891","$539,571"
488.,Vince Williams Jr,"$508,891","$539,571"
488.,Jamal Cain,"$508,891","$539,571"
488.,AJ Green,"$508,891","$539,571"
488.,Luka Garza,"$508,891","$539,571"
488.,EJ Liddell,"$508,891","$539,571"
488.,Kevon Harris,"$508,891","$539,571"
488.,Keon Ellis,"$508,891","$539,571"
488.,Neemias Queta,"$508,891","$539,571"
488.,Julian Champagnie,"$508,891","$539,571"
488.,Dominick Barlow,"$508,891","$539,571"
488.,Jeff Dowtin,"$508,891","$539,571"
488.,Ron Harper Jr,"$508,891","$539,571"
488.,Micah Potter,"$508,891","$539,571"
488.,Johnny Juzang,"$508,891","$539,571"
518.,John Butler,"$503,041","$533,368"
519.,Chima Moneke,"$500,000","$530,144"
520.,Facundo Campazzo,"$464,299","$492,290"
521.,Orlando Robinson,"$386,055","$409,328"
522.,Dru Smith,"$374,357","$396,925"
523.,AJ Lawson,"$371,432","$393,824"
524.,Jared Rhoden,"$307,089","$325,602"
524.,Louis King,"$307,089","$325,602"
526.,Robert Woodard,"$300,000","$318,086"
527.,Didi Louzada,"$268,032","$284,191"
528.,Jarrett Culver,"$260,295","$275,987"
529.,Olivier Sarr,"$257,371","$272,887"
530.,Alondes Williams,"$254,446","$269,786"
531.,DJ Wilson,"$250,000","$265,072"
532.,Donovan Williams,"$239,822","$254,280"
533.,Quenton Jackson,"$219,630","$232,870"
534.,Chris Silva,"$211,045","$223,768"
535.,Tyler Dorsey,"$201,802","$213,968"
535.,Braxton Key,"$201,802","$213,968"
537.,Jordan Hall,"$193,027","$204,663"
538.,Alize Johnson,"$192,293","$203,885"
539.,Kostas Antetokounmpo,"$172,555","$182,957"
540.,Devon Dotson,"$169,630","$179,856"
541.,Mac McClung,"$160,856","$170,553"
542.,Willie Cauley-Stein,"$155,738","$165,127"
543.,Nate Darling,"$152,082","$161,250"
544.,Keaton Wallace,"$140,384","$148,847"
544.,Xavier Cooks,"$140,384","$148,847"
546.,Shaquille Harrison,"$134,862","$142,992"
547.,Feron Hunt,"$131,610","$139,544"
548.,Lester Quinones,"$129,405","$137,206"
549.,Troy Williams,"$122,741","$130,140"
550.,Xavier Moon,"$116,986","$124,038"
550.,Jamaree Bouyea,"$116,986","$124,038"
550.,Jay Huff,"$116,986","$124,038"
553.,Skylar Mays,"$116,574","$123,602"
554.,Frank Jackson,"$113,114","$119,933"
555.,Michael Foster,"$106,288","$112,695"
556.,Deonte Burton,"$105,522","$111,883"
556.,Jarrell Brantley,"$105,522","$111,883"
558.,Xavier Sneed,"$102,910","$109,114"
559.,Justin Lewis,"$102,363","$108,534"
560.,Lindell Wigginton,"$99,438","$105,432"
561.,Jordan Schakel,"$96,514","$102,332"
562.,Demetrius Jackson,"$92,857","$98,455"
563.,Stanley Umude,"$58,493","$62,019"
564.,Jeenathan Williams,"$52,644","$55,817"
565.,DJ Steward,"$50,000","$53,014"
565.,Armoni Brooks,"$50,000","$53,014"
567.,Jay Scrubb,"$49,719","$52,716"
568.,Justin Minaya,"$35,096","$37,211"
569.,Kobi Simmons,"$32,795","$34,772"
570.,Gabe York,"$32,171","$34,110"
571.,Ibou Badji,"$18,226","$19,324"
572.,Tristan Thompson,"$16,700","$17,706"
573.,RaiQuan Gray,"$5,849","$6,201"
573.,Jacob Gilyard,"$5,849","$6,201"
